container;schiff;sea_etd_pol;sea_eta_pod;sea_dat_ank_hafen;sea_dat_cont_entl;sea_dat_abf_hafen;sea_dat_ank_vz;pod_id;pod_name;pod_land
HLBU3284461;AL NASRIYAH;27.11.2020 00:00;12.01.2021 00:00;12.01.2021 00:00;13.01.2021 00:00;18.01.2021 00:00;;;;
MSKU6283599;MILAN MAERSK;24.11.2020 00:00;26.12.2020 00:00;29.12.2020 00:00;29.12.2020 00:00;22.01.2021 00:00;27.01.2021 00:00;;;
MRKU0657914;MSC PALOMA;08.11.2020 00:00;10.12.2020 00:00;10.12.2020 00:00;11.12.2020 00:00;04.01.2021 00:00;06.01.2021 00:00;;;
CGMU5409490;COSCO SHIPPING LIBRA;21.08.2020 00:00;06.10.2020 00:00;06.10.2020 00:00;06.10.2020 00:00;10.10.2020 00:00;19.10.2020 00:00;;;
MRKU7869258;MSC NEW YORK;16.10.2020 00:00;11.12.2020 00:00;11.12.2020 00:00;12.12.2020 00:00;20.12.2020 00:00;31.12.2020 00:00;;;
TGHU1905140;MSC SVEVA;02.11.2020 00:00;30.11.2020 00:00;02.12.2020 00:00;02.12.2020 00:00;03.12.2020 00:00;16.12.2020 00:00;;;
APHU7383295;COSCO DENMARK;16.11.2020 00:00;13.12.2020 00:00;13.12.2020 00:00;14.12.2020 00:00;17.12.2020 00:00;30.12.2020 00:00;;;
MSCU4863114;MSC GULSUN;01.11.2020 00:00;01.12.2020 00:00;01.12.2020 00:00;01.12.2020 00:00;04.12.2020 00:00;09.12.2020 00:00;;;
FCIU6659720;HMM SOUTHAMPTON;24.11.2020 00:00;21.12.2020 00:00;21.12.2020 00:00;22.12.2020 00:00;27.12.2020 00:00;13.01.2021 00:00;;;
PONU1812030;MSC VALERIA;04.12.2020 00:00;08.01.2021 00:00;08.01.2021 00:00;10.01.2021 00:00;12.01.2021 00:00;20.01.2021 00:00;;;
TGBU5073690;CMA CGM MOLIERE;17.11.2020 00:00;22.12.2020 00:00;24.12.2020 00:00;24.12.2020 00:00;05.01.2021 00:00;14.01.2021 00:00;;;
TCKU6603640;MADRID MAERSK;13.11.2020 00:00;11.12.2020 00:00;11.12.2020 00:00;12.12.2020 00:00;21.12.2020 00:00;31.12.2020 00:00;;;
4861-0746-010.013;NYK VENUS;11.11.2020 00:00;16.12.2020 00:00;16.12.2020 00:00;27.12.2020 00:00;27.12.2020 00:00;28.12.2020 00:00;;;
UACU4055441;BARZAN;11.11.2020 00:00;28.12.2020 00:00;28.12.2020 00:00;30.12.2020 00:00;07.01.2021 00:00;19.01.2021 00:00;;;
4352-0746-011.017;NYK VIRGO;03.12.2020 00:00;10.01.2021 00:00;12.01.2021 00:00;18.01.2021 00:00;27.01.2021 00:00;21.01.2021 00:00;;;
MSMU7794110;MSC AMBRA;06.12.2020 00:00;09.01.2021 00:00;10.01.2021 00:00;10.01.2021 00:00;13.01.2021 00:00;19.01.2021 00:00;;;
TCLU6166039;LINAH;17.11.2020 00:00;22.12.2020 00:00;22.12.2020 00:00;23.12.2020 00:00;05.01.2021 00:00;14.01.2021 00:00;;;
CAIU3436469;MSC MIA;12.11.2020 00:00;15.12.2020 00:00;15.12.2020 00:00;16.12.2020 00:00;18.12.2020 00:00;31.12.2020 00:00;;;
FSCU8249468;HMM ALGECIRAS;10.11.2020 00:00;13.12.2020 00:00;13.12.2020 00:00;14.12.2020 00:00;17.12.2020 00:00;31.12.2020 00:00;;;
HAMU1306108;ONE EAGLE;15.11.2020 00:00;19.12.2020 00:00;19.12.2020 00:00;20.12.2020 00:00;22.12.2020 00:00;06.01.2021 00:00;;;
CMAU6205321;CMA CGM MOLIERE;17.11.2020 00:00;22.12.2020 00:00;24.12.2020 00:00;24.12.2020 00:00;05.01.2021 00:00;14.01.2021 00:00;;;
UACU3678339;AL MURABBA;26.11.2020 00:00;31.12.2020 00:00;31.12.2020 00:00;02.01.2021 00:00;08.01.2021 00:00;;;;
ECMU4453194;CMA CGM CHAMPS ELYSEES;05.11.2020 00:00;05.12.2020 00:00;08.12.2020 00:00;08.12.2020 00:00;10.12.2020 00:00;;;;
UACU5210270;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;17.12.2020 00:00;18.12.2020 00:00;31.12.2020 00:00;;;
YMLU3511878;HMM ALGECIRAS;13.11.2020 00:00;13.12.2020 00:00;13.12.2020 00:00;15.12.2020 00:00;17.12.2020 00:00;30.12.2020 00:00;;;
HLXU6574754;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;15.12.2020 00:00;18.12.2020 00:00;31.12.2020 00:00;;;
TTNU1293154;MARCHEN MAERSK;22.12.2020 00:00;18.01.2021 00:00;18.01.2021 00:00;19.01.2021 00:00;26.01.2021 00:00;03.02.2021 00:00;;;
GLDU5551500;APL SINGAPURA;10.11.2020 00:00;18.12.2020 00:00;18.12.2020 00:00;19.12.2020 00:00;23.12.2020 00:00;06.01.2021 00:00;;;
TCLU8089245;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;17.12.2020 00:00;18.12.2020 00:00;31.12.2020 00:00;;;
DRYU4041309;APL SINGAPURA;10.11.2020 00:00;18.12.2020 00:00;18.12.2020 00:00;19.12.2020 00:00;23.12.2020 00:00;06.01.2021 00:00;;;
TCNU4409100;CMA CGM TITUS;13.12.2020 00:00;29.12.2020 00:00;30.12.2020 00:00;30.12.2020 00:00;05.01.2020 00:00;14.01.2021 00:00;;;
SEGU2050606;HMM SOUTHAMPTON;19.11.2020 00:00;21.12.2020 00:00;21.12.2020 00:00;23.12.2020 00:00;27.12.2020 00:00;13.01.2021 00:00;;;
UACU8243771;ONE EAGLE;15.11.2020 00:00;19.12.2020 00:00;19.12.2020 00:00;21.12.2020 00:00;23.12.2020 00:00;06.01.2021 00:00;;;
HLXU1415960;HMM SOUTHAMPTON;24.11.2020 00:00;21.12.2020 00:00;21.12.2020 00:00;23.12.2020 00:00;27.12.2020 00:00;13.01.2021 00:00;;;
UACU8593738;ONE EAGLE;15.11.2020 00:00;19.12.2020 00:00;19.12.2020 00:00;22.12.2020 00:00;23.12.2020 00:00;06.01.2021 00:00;;;
UACU8436852;ONE EAGLE;15.11.2020 00:00;19.12.2020 00:00;19.12.2020 00:00;21.12.2020 00:00;23.12.2020 00:00;06.01.2021 00:00;;;
CMAU1536522;APL SINGAPURA;10.11.2020 00:00;18.12.2020 00:00;18.12.2020 00:00;20.12.2020 00:00;23.12.2020 00:00;06.01.2021 00:00;;;
FCIU7494728;ONE EAGLE;15.11.2020 00:00;19.12.2020 00:00;19.12.2020 00:00;20.12.2020 00:00;22.12.2020 00:00;06.01.2021 00:00;;;
HLBU2586702;CMA CGM TITUS;11.12.2020 00:00;29.12.2020 00:00;29.12.2020 00:00;30.12.2020 00:00;05.01.2020 00:00;14.01.2021 00:00;;;
ECMU2222540;COSCO HARMONY;11.11.2020 00:00;04.12.2020 00:00;05.12.2020 00:00;05.12.2020 00:00;10.12.2020 00:00;17.12.2020 00:00;;;
TCKU6931212;MADRID MAERSK;11.11.2020 00:00;11.12.2020 00:00;11.12.2020 00:00;12.12.2020 00:00;20.12.2020 00:00;05.01.2021 00:00;;;
BEAU4460022;MADRID MAERSK;13.11.2020 00:00;11.12.2020 00:00;11.12.2020 00:00;12.12.2020 00:00;21.12.2020 00:00;05.01.2021 00:00;;;
TEMU6822047;MSC MACHU B;23.11.2020 00:00;24.12.2020 00:00;31.12.2020 00:00;31.12.2020 00:00;05.01.2021 00:00;07.01.2021 00:00;;;
FCIU6628118;HMM SOUTHAMPTON;19.11.2020 00:00;21.12.2020 00:00;21.12.2020 00:00;23.12.2020 00:00;27.12.2020 00:00;13.01.2021 00:00;;;
FCIU7226582;MARGRETHE MAERSK;18.11.2020 00:00;17.12.2020 00:00;17.12.2020 00:00;18.12.2020 00:00;21.12.2020 00:00;06.01.2021 00:00;;;
CAIU8270025;APL SINGAPURA;10.11.2020 00:00;18.12.2020 00:00;18.12.2020 00:00;19.12.2020 00:00;23.12.2020 00:00;06.01.2021 00:00;;;
TTNU3935504;MAERSK HERRERA;03.12.2020 00:00;04.01.2021 00:00;05.01.2021 00:00;05.01.2021 00:00;12.01.2021 00:00;21.01.2021 00:00;;;
HLBU1939620;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;17.12.2020 00:00;18.12.2020 00:00;30.12.2020 00:00;;;
TRHU2820374;LINAH;27.10.2020 00:00;21.12.2020 00:00;22.12.2020 00:00;24.12.2020 00:00;30.12.2020 00:00;05.01.2021 00:00;;;
MRKU4683568;MSC PALOMA;10.11.2020 00:00;10.12.2020 00:00;10.12.2020 00:00;11.12.2020 00:00;20.12.2020 00:00;05.01.2021 00:00;;;
HLXU8526204;HMM SOUTHAMPTON;24.11.2020 00:00;21.12.2020 00:00;21.12.2020 00:00;21.12.2020 00:00;27.12.2020 00:00;13.01.2021 00:00;;;
4369-0746-010.015;BARZAN;31.10.2020 00:00;28.12.2020 00:00;28.12.2020 00:00;03.01.2021 00:00;04.01.2021 00:00;04.01.2021 00:00;;;
IKSU5204452;HMM HELSINKI;15.11.2020 00:00;01.01.2021 00:00;01.01.2021 00:00;02.01.2021 00:00;04.01.2021 00:00;05.01.2021 00:00;;;
HNKU5120421;KN EURASIA EXPRESS;14.12.2020 00:00;02.01.2021 00:00;04.01.2020 00:00;03.01.2021 00:00;05.01.2021 00:00;08.01.2021 00:00;;;
CRSU1366449;MILAN MAERSK;18.11.2020 00:00;13.12.2020 00:00;26.12.2020 00:00;18.12.2020 00:00;04.01.2021 00:00;08.01.2021 00:00;;;
TEMU2434721;APL SINGAPURA;10.11.2020 00:00;18.12.2020 00:00;18.12.2020 00:00;19.12.2020 00:00;23.12.2020 00:00;05.01.2021 00:00;;;
MSKU6937529;MSC ISABELLA;12.11.2020 00:00;20.12.2020 00:00;20.12.2020 00:00;20.12.2020 00:00;29.12.2020 00:00;08.01.2021 00:00;;;
UACU5941254;ONE EAGLE;15.11.2020 00:00;19.12.2020 00:00;19.12.2020 00:00;21.12.2020 00:00;23.12.2020 00:00;06.01.2021 00:00;;;
SUDU1327830;MSC LONDON;18.11.2020 00:00;29.12.2020 00:00;29.12.2020 00:00;29.12.2020 00:00;04.01.2021 00:00;;;;
MRKU1025985;MSC PALOMA;08.11.2020 00:00;10.12.2020 00:00;10.12.2020 00:00;10.12.2020 00:00;20.12.2020 00:00;30.12.2020 00:00;;;
SUDU7785532;MSC PALOMA;10.11.2020 00:00;10.12.2020 00:00;10.12.2020 00:00;11.12.2020 00:00;04.01.2021 00:00;;;;
FCIU3812055;CMA CGM RACINE;22.11.2020 00:00;18.12.2020 00:00;09.12.2020 00:00;18.12.2020 00:00;23.12.2020 00:00;06.01.2021 00:00;;;
HLXU6461064;CMA CGM TITUS;11.12.2020 00:00;29.12.2020 00:00;29.12.2020 00:00;30.12.2020 00:00;05.01.2020 00:00;14.01.2021 00:00;;;
UACU5198663;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;16.12.2020 00:00;18.12.2020 00:00;23.12.2020 00:00;;;
FCIU7442555;AL NASRIYAH;27.11.2020 00:00;12.01.2021 00:00;12.01.2021 00:00;13.01.2021 00:00;18.01.2021 00:00;;;;
APHU7384178;CMA CGM TITUS;01.12.2020 00:00;29.12.2020 00:00;30.12.2020 00:00;30.12.2020 00:00;05.01.2021 00:00;14.01.2021 00:00;;;
CMAU7017437;CMA CGM TITUS;13.12.2020 00:00;29.12.2020 00:00;30.12.2020 00:00;30.12.2020 00:00;05.01.2020 00:00;14.01.2021 00:00;;;
FCIU2524692;HMM SOUTHAMPTON;24.11.2020 00:00;21.12.2020 00:00;21.12.2020 00:00;23.12.2020 00:00;05.01.2021 00:00;14.01.2021 00:00;;;
MRKU8596440;MSC LONDON;27.11.2020 00:00;28.12.2020 00:00;29.12.2020 00:00;30.12.2020 00:00;04.01.2021 00:00;07.01.2021 00:00;;;
SUDU7492560;MSC LONDON;18.11.2020 00:00;29.12.2020 00:00;29.12.2020 00:00;30.12.2020 00:00;04.01.2021 00:00;07.01.2021 00:00;;;
TCLU1433127;MSC MIRJA;07.11.2020 00:00;10.12.2020 00:00;10.12.2020 00:00;11.12.2020 00:00;21.12.2020 00:00;29.12.2020 00:00;;;
FCIU7620261;CMA CGM RACINE;20.11.2020 00:00;18.12.2020 00:00;09.12.2020 00:00;18.12.2020 00:00;23.12.2020 00:00;05.01.2021 00:00;;;
UACU8480069;BARZAN;11.11.2020 00:00;28.12.2020 00:00;28.12.2020 00:00;30.12.2020 00:00;07.01.2021 00:00;13.01.2021 00:00;;;
OTPU6053550;ONE BLUE JAY;24.11.2020 00:00;30.12.2020 00:00;30.12.2020 00:00;01.01.2021 00:00;07.01.2021 00:00;;;;
BMOU4295200;MSC NITYA B;01.12.2020 00:00;31.12.2020 00:00;08.01.2021 00:00;08.01.2021 00:00;13.01.2021 00:00;19.01.2021 00:00;;;
HLXU5313648;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;17.12.2020 00:00;18.12.2020 00:00;30.12.2020 00:00;;;
MRKU0305410;MSC ISABELLA;12.11.2020 00:00;20.12.2020 00:00;20.12.2020 00:00;21.12.2020 00:00;29.12.2020 00:00;08.01.2021 00:00;;;
4369-0746-010.016;ONE HONG KONG;14.11.2020 00:00;30.12.2020 00:00;29.12.2020 00:00;09.01.2021 00:00;09.01.2021 00:00;09.01.2021 00:00;;;
HAMU1034308;BARZAN;11.11.2020 00:00;28.12.2020 00:00;28.12.2020 00:00;30.12.2020 00:00;07.01.2021 00:00;13.01.2021 00:00;;;
TCNU6747832;LINAH;17.11.2020 00:00;22.12.2020 00:00;22.12.2020 00:00;23.12.2020 00:00;05.01.2021 00:00;14.01.2021 00:00;;;
4410-9186-011.070;ONE HAMMERSMITH;18.11.2020 00:00;23.12.2020 00:00;20.12.2020 00:00;02.01.2021 00:00;02.01.2021 00:00;05.01.2021 00:00;;;
HASU1033350;MSC PALOMA;10.11.2020 00:00;10.12.2020 00:00;10.12.2020 00:00;11.12.2020 00:00;14.12.2020 00:00;;;;
UACU8375530;XIN SHANGHAI;25.12.2020 00:00;12.01.2021 00:00;12.01.2021 00:00;13.01.2021 00:00;15.01.2021 00:00;23.01.2021 00:00;;;
CXDU1350431;MSC FEBE;18.12.2020 00:00;28.01.2021 00:00;28.01.2021 00:00;;05.02.2021 00:00;11.02.2021 00:00;;;
4356-0746-010.011;ONE HONG KONG;12.11.2020 00:00;30.12.2020 00:00;29.12.2020 00:00;06.01.2021 00:00;06.01.2021 00:00;12.01.2021 00:00;;;
TGHU1741406;CMA CGM MOLIERE;09.08.2020 00:00;25.08.2020 00:00;25.08.2020 00:00;25.08.2020 00:00;01.09.2020 00:00;04.09.2020 00:00;;;
TRLU8727056;BARZAN;11.11.2020 00:00;28.12.2020 00:00;28.12.2020 00:00;30.12.2020 00:00;07.01.2021 00:00;13.01.2021 00:00;;;
MRKU1082331;MSC ISABELLA;05.11.2020 00:00;20.12.2020 00:00;20.12.2020 00:00;21.12.2020 00:00;29.12.2020 00:00;08.01.2021 00:00;;;
HAMU1244536;ZENITH LUMOS;28.12.2020 00:00;26.01.2021 00:00;26.01.2021 00:00;27.01.2021 00:00;29.01.2021 00:00;02.02.2021 00:00;;;
TCLU8987476;AL MURABBA;20.11.2020 00:00;28.12.2020 00:00;08.01.2021 00:00;09.01.2021 00:00;08.01.2021 00:00;20.01.2021 00:00;;;
BEAU4713922;NINGBO EXPRESS;04.12.2020 00:00;21.12.2020 00:00;23.12.2020 00:00;23.12.2020 00:00;05.01.2020 00:00;13.01.2021 00:00;;;
CXDU2163517;MSC MIA;12.11.2020 00:00;15.12.2020 00:00;15.12.2020 00:00;16.12.2020 00:00;18.12.2020 00:00;31.12.2020 00:00;;;
TCLU5167869;CMA CGM MOLIERE;17.11.2020 00:00;22.12.2020 00:00;24.12.2020 00:00;24.12.2020 00:00;30.12.2020 00:00;06.01.2021 00:00;;;
MSCU4743232;MSC NELA;16.11.2020 00:00;24.12.2020 00:00;25.12.2020 00:00;26.12.2020 00:00;30.12.2020 00:00;07.01.2021 00:00;;;
BEAU4066214;CMA CGM MOLIERE;17.11.2020 00:00;22.12.2020 00:00;24.12.2020 00:00;24.12.2020 00:00;05.01.2021 00:00;14.01.2021 00:00;;;
OTPU6268310;HMM HELSINKI;15.11.2020 00:00;01.01.2021 00:00;01.01.2021 00:00;02.01.2021 00:00;04.01.2021 00:00;05.01.2021 00:00;;;
TGHU9635653;BERLIN EXPRESS;06.12.2020 00:00;04.01.2021 00:00;06.01.2021 00:00;06.01.2021 00:00;13.01.2021 00:00;20.01.2021 00:00;;;
4369-0746-010.017;BARZAN;31.10.2020 00:00;28.12.2020 00:00;28.12.2020 00:00;04.01.2021 00:00;03.01.2021 00:00;04.01.2021 00:00;;;
PONU1872805;MADRID MAERSK;11.11.2020 00:00;11.12.2020 00:00;11.12.2020 00:00;12.12.2020 00:00;21.12.2020 00:00;31.12.2020 00:00;;;
SEGU9271091;ONE BLUE JAY;24.11.2020 00:00;30.12.2020 00:00;30.12.2020 00:00;01.01.2021 00:00;07.01.2021 00:00;;;;
GLDU9948610;CMA CGM MOLIERE;17.11.2020 00:00;22.12.2020 00:00;24.12.2020 00:00;24.12.2020 00:00;05.01.2021 00:00;14.01.2021 00:00;;;
BEAU2169701;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;17.12.2020 00:00;18.12.2020 00:00;30.12.2020 00:00;;;
UACU8251680;BARZAN;11.11.2020 00:00;28.12.2020 00:00;28.12.2020 00:00;30.12.2020 00:00;07.01.2021 00:00;13.01.2021 00:00;;;
SUDU7989900;MILAN MAERSK;10.11.2020 00:00;26.12.2020 00:00;26.12.2020 00:00;28.12.2020 00:00;04.01.2021 00:00;08.01.2021 00:00;;;
SEGU2613700;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;17.12.2020 00:00;18.12.2020 00:00;31.12.2020 00:00;;;
UACU8120062;MADRID MAERSK;13.11.2020 00:00;11.12.2020 00:00;11.12.2020 00:00;12.12.2020 00:00;21.12.2020 00:00;31.12.2020 00:00;;;
TCLU1451115;MADRID MAERSK;13.11.2020 00:00;11.12.2020 00:00;11.12.2020 00:00;12.12.2020 00:00;21.12.2020 00:00;05.01.2021 00:00;;;
TRLU7281843;MADRID MAERSK;13.11.2020 00:00;11.12.2020 00:00;11.12.2020 00:00;12.12.2020 00:00;21.12.2020 00:00;05.01.2021 00:00;;;
CLHU9127385;MSC MIA;10.11.2020 00:00;15.12.2020 00:00;15.12.2020 00:00;16.12.2020 00:00;18.12.2020 00:00;31.12.2020 00:00;;;
MRSU3072103;MADRID MAERSK;11.11.2020 00:00;11.12.2020 00:00;11.12.2020 00:00;13.12.2020 00:00;20.12.2020 00:00;05.01.2021 00:00;;;
UACU8412130;CMA CGM RACINE;17.11.2020 00:00;22.12.2020 00:00;22.12.2020 00:00;24.12.2020 00:00;05.01.2021 00:00;13.01.2021 00:00;;;
MRKU9361760;MARCHEN MAERSK;19.12.2020 00:00;17.01.2021 00:00;18.01.2021 00:00;19.01.2021 00:00;25.01.2021 00:00;02.02.2021 00:00;;;
MRKU6288080;MADRID MAERSK;11.11.2020 00:00;11.12.2020 00:00;11.12.2020 00:00;13.12.2020 00:00;20.12.2020 00:00;05.01.2021 00:00;;;
4340-0746-010.011;NYK VENUS;13.11.2020 00:00;11.12.2020 00:00;11.12.2020 00:00;12.12.2020 00:00;29.12.2020 00:00;29.12.2020 00:00;;;
CMAU7189009;TITAN;02.12.2020 00:00;03.01.2021 00:00;03.01.2021 00:00;03.01.2021 00:00;08.01.2021 00:00;19.01.2021 00:00;;;
SUDU6586618;MILAN MAERSK;16.11.2020 00:00;26.12.2020 00:00;26.12.2020 00:00;27.12.2020 00:00;12.01.2021 00:00;20.01.2020 00:00;;;
HLBU2552404;HMM SOUTHAMPTON;13.11.2020 00:00;21.12.2020 00:00;21.12.2020 00:00;22.12.2020 00:00;30.12.2020 00:00;13.01.2021 00:00;;;
MSCU5582003;MSC MIA;08.11.2020 00:00;19.12.2020 00:00;20.12.2020 00:00;20.12.2020 00:00;23.12.2020 00:00;05.01.2021 00:00;;;
HLXU5308235;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;17.12.2020 00:00;18.12.2020 00:00;30.12.2020 00:00;;;
TEMU6857953;CMA CGM TITUS;13.12.2020 00:00;29.12.2020 00:00;30.12.2020 00:00;30.12.2020 00:00;05.01.2020 00:00;14.01.2021 00:00;;;
UACU5608618;MILAN MAERSK;24.11.2020 00:00;26.12.2020 00:00;26.12.2020 00:00;27.12.2020 00:00;04.01.2021 00:00;13.01.2021 00:00;;;
MEDU3432654;MSC NELA;08.11.2020 00:00;24.12.2020 00:00;26.12.2020 00:00;24.12.2020 00:00;30.12.2020 00:00;;GOA;Genoa;IT
TEMU8437815;COSCO DENMARK;16.11.2020 00:00;13.12.2020 00:00;13.12.2020 00:00;13.12.2020 00:00;17.12.2020 00:00;30.12.2020 00:00;;;
4861-0746-010.011;ONE EAGLE;26.10.2020 00:00;27.11.2020 00:00;19.12.2020 00:00;22.12.2020 00:00;29.12.2020 00:00;29.12.2020 00:00;;;
CAIU6721500;MSC NELA;11.11.2020 00:00;24.12.2020 00:00;25.12.2020 00:00;26.12.2020 00:00;05.01.2021 00:00;;;;
GESU6301259;CMA CGM TITUS;11.12.2020 00:00;29.12.2020 00:00;29.12.2020 00:00;30.12.2020 00:00;05.01.2020 00:00;14.01.2021 00:00;;;
TGBU5686413;BARZAN;16.11.2020 00:00;28.12.2020 00:00;28.12.2020 00:00;29.12.2020 00:00;04.01.2021 00:00;12.01.2021 00:00;;;
FCIU7564240;MILAN MAERSK;27.11.2020 00:00;26.12.2020 00:00;26.12.2020 00:00;28.12.2020 00:00;29.12.2020 00:00;12.01.2021 00:00;;;
TTNU4444212;MADRID MAERSK;13.11.2020 00:00;11.12.2020 00:00;11.12.2020 00:00;13.12.2020 00:00;04.01.2021 00:00;12.01.2021 00:00;;;
UACU8379393;MILAN MAERSK;24.11.2020 00:00;26.12.2020 00:00;26.12.2020 00:00;28.12.2020 00:00;04.01.2021 00:00;13.01.2021 00:00;;;
MEDU4214636;MSC DITTE;21.11.2020 00:00;03.01.2021 00:00;03.01.2021 00:00;03.01.2021 00:00;08.01.2021 00:00;12.01.2021 00:00;;;
TCLU9932966;MSC LONDON;18.11.2020 00:00;29.12.2020 00:00;29.12.2020 00:00;30.12.2020 00:00;04.01.2021 00:00;13.01.2021 00:00;;;
HNKU6036439;RAIL;27.11.2020 00:00;15.12.2020 00:00;14.12.2020 00:00;14.12.2020 00:00;15.12.2020 00:00;15.12.2020 00:00;;;
CLHU3763311;BARZAN;16.11.2020 00:00;28.12.2020 00:00;28.12.2020 00:00;30.12.2020 00:00;06.01.2021 00:00;22.01.2021 00:00;;;
CMAU6378667;BERLIN EXPRESS;20.12.2020 00:00;04.01.2021 00:00;06.01.2021 00:00;06.01.2021 00:00;13.01.2021 00:00;22.01.2021 00:00;;;
TRHU3502742;MARY;24.01.2021 00:00;09.02.2021 00:00;09.02.2021 00:00;09.02.2021 00:00;11.02.2021 00:00;18.02.2021 00:00;;;
HLBU1534330;SALAHUDDIN;07.11.2020 00:00;06.12.2020 00:00;06.12.2020 00:00;07.12.2020 00:00;15.12.2020 00:00;29.12.2020 00:00;;;
MRKU6472728;MSC PALOMA;08.11.2020 00:00;10.12.2020 00:00;10.12.2020 00:00;11.12.2020 00:00;04.01.2021 00:00;13.01.2021 00:00;;;
TGHU0662112;MSC MIA;14.11.2020 00:00;15.12.2020 00:00;15.12.2020 00:00;16.12.2020 00:00;18.12.2020 00:00;30.12.2020 00:00;;;
UACU3560201;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;17.12.2020 00:00;18.12.2020 00:00;05.01.2021 00:00;;;
GAOU6061318;NINGBO EXPRESS;23.11.2020 00:00;21.12.2020 00:00;23.12.2020 00:00;23.12.2020 00:00;30.12.2020 00:00;06.01.2021 00:00;;;
TEMU1849446;AL MURABBA;20.11.2020 00:00;31.12.2020 00:00;31.12.2020 00:00;02.01.2021 00:00;13.01.2021 00:00;;;;
TCLU8120232;ULSAN EXPRESS;21.12.2020 00:00;19.01.2021 00:00;19.01.2021 00:00;19.01.2021 00:00;27.01.2021 00:00;03.02.2021 00:00;;;
4800-0746-011.014;CSCL VENUS;30.11.2020 00:00;08.01.2021 00:00;08.01.2021 00:00;11.01.2021 00:00;25.01.2021 00:00;;;;
UACU3271111;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;17.12.2020 00:00;18.12.2020 00:00;31.12.2020 00:00;;;
TCLU3773300;COSCO DENMARK;19.11.2020 00:00;13.12.2020 00:00;13.12.2020 00:00;13.12.2020 00:00;17.12.2020 00:00;23.12.2020 00:00;;;
BEAU2276504;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;17.12.2020 00:00;18.12.2020 00:00;31.12.2020 00:00;;;
MRKU8741831;MILAN MAERSK;23.11.2020 00:00;26.12.2020 00:00;26.12.2020 00:00;28.12.2020 00:00;30.12.2020 00:00;;;;
MRKU8353420;MILAN MAERSK;30.11.2020 00:00;26.12.2020 00:00;26.12.2020 00:00;26.12.2020 00:00;30.12.2020 00:00;;;;
GESU6395514;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;16.12.2020 00:00;18.12.2020 00:00;30.12.2020 00:00;;;
AMFU8863640;MADRID MAERSK;13.11.2020 00:00;11.12.2020 00:00;11.12.2020 00:00;12.12.2020 00:00;21.12.2020 00:00;05.01.2021 00:00;;;
GATU8637355;ULSAN EXPRESS;21.12.2020 00:00;19.01.2021 00:00;19.01.2021 00:00;19.01.2021 00:00;27.01.2021 00:00;03.02.2021 00:00;;;
CAIU4223107;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;16.12.2020 00:00;18.12.2020 00:00;31.12.2020 00:00;;;
GVCU4036380;MADRID MAERSK;11.11.2020 00:00;11.12.2020 00:00;11.12.2020 00:00;13.12.2020 00:00;21.12.2020 00:00;31.12.2020 00:00;;;
UACU3800956;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;17.12.2020 00:00;18.12.2020 00:00;31.12.2020 00:00;;;
FDCU0172524;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;17.12.2020 00:00;18.12.2020 00:00;31.12.2020 00:00;;;
HLBU1485636;MILAN MAERSK;27.11.2020 00:00;26.12.2020 00:00;26.12.2020 00:00;28.12.2020 00:00;01.01.2021 00:00;12.01.2021 00:00;;;
UACU8209381;LINAH;20.11.2020 00:00;21.12.2020 00:00;22.12.2020 00:00;23.12.2020 00:00;05.01.2021 00:00;14.01.2021 00:00;;;
HNKU5104436;KN EURASIA EXPRESS;14.12.2020 00:00;02.01.2021 00:00;04.01.2020 00:00;03.01.2021 00:00;05.01.2021 00:00;08.01.2021 00:00;;;
MSCU4342986;MSC GULSUN;02.11.2020 00:00;01.12.2020 00:00;01.12.2020 00:00;01.12.2020 00:00;04.12.2020 00:00;10.12.2020 00:00;;;
TEXU1558275;MSC NELA;08.11.2020 00:00;24.12.2020 00:00;26.12.2020 00:00;26.12.2020 00:00;31.12.2020 00:00;;GOA;Genoa;IT
HASU4195632;MSC PALOMA;08.11.2020 00:00;10.12.2020 00:00;10.12.2020 00:00;11.12.2020 00:00;04.01.2021 00:00;13.01.2021 00:00;;;
